OBJID;RA;DEC;NAME;NH;ENERGY_SLOPE;ENERGY_SLOPE_ERROR;EXPOSURE_TIME;NUFNU_3000EV;NUFNU_ERROR_3000EV;NUFNU_500EV;NUFNU_ERROR_500EV;UPPER_LIMIT_500EV;NUFNU_1500EV;NUFNU_ERROR_1500EV;UPPER_LIMIT_1500EV;NUFNU_4500EV;NUFNU_ERROR_4500EV;UPPER_LIMIT_4500EV;COUNTRATES_300_10000EV;COUNTRATES_ERROR_300_10000EV;COUNTRATES_300_1000EV;COUNTRATES_ERROR_300_1000EV;UPPER_LIMIT_300_1000EV;COUNTRATES_1000_2000EV;COUNTRATES_ERROR_1000_2000EV;UPPER_LIMIT_1000_2000EV;COUNTRATES_2000_10000EV;COUNTRATES_ERROR_2000_10000EV;UPPER_LIMIT_2000_10000EV;RUNID;SNR
23;185.189;69.0912;SDSX_J122045.3+690528.5;2.14e+20;0.8;-999/-999;897.9;3.99524e-13;8.47476e-14;2.75818e-13;9.14285e-14;-999;4.18247e-13;1.38641e-13;-999;3.19822e-13;1.5539e-13;-999;0.0297;0.0063;0.01188;0.003938;-999;0.01188;0.003938;-999;0.005942;0.002887;-999;185_18567_69_0904_15;902.614
24;227.895;-17.0171;SDSX_J151134.9-170101.6;6.45e+20;0.8;-999/-999;987.9;1.19397e-13;5.23804e-14;8.23641e-14;6.21478e-14;-999;1.4358e-13;8.90384e-14;-999;7.00161e-14;7.37011e-14;-999;0.00775;0.0034;0.002583;0.001949;-999;0.003875;0.002403;-999;0.001292;0.00136;-999;227_90371_m16_89078_15;990.179
25;295.933;-5.54469;SDSX_J194343.9-053240.9;7.8e+20;0.8;-999/-999;9312.2;2.73001e-14;8.46145e-15;1.70571e-14;1.00067e-14;-999;1.83996e-14;1.07943e-14;-999;3.9807e-14;1.88717e-14;-999;0.00171;0.00053;0.0004887;0.0002867;-999;0.0004887;0.0002867;-999;0.000733;0.0003475;-999;295_8908_m5_5649_15;9315.43
26;295.967;-5.51954;SDSX_J194352.0-053110.3;7.75e+20;0.8;-999/-999;9254.4;1.5657e-14;6.69648e-15;4.87742e-15;5.60103e-15;-999;2.11093e-14;1.18528e-14;-999;1.5232e-14;1.21639e-14;-999;0.000982;0.00042;0.0001402;0.000161;-999;0.000561;0.000315;-999;0.0002805;0.000224;-999;295_8908_m5_5649_15;9256.74
27;295.891;-5.56443;SDSX_J194333.9-053351.9;7.86e+20;0.776;+0.07/-0.07;9181;1.14159e-12;4.71598e-14;4.42821e-13;4.45258e-14;-999;1.31425e-12;7.7262e-14;-999;1.23853e-12;8.8599e-14;-999;0.0702;0.0029;0.01272;0.001279;-999;0.03482;0.002047;-999;0.02266;0.001621;-999;295_8908_m5_5649_15;9205.21
28;296.033;-5.55838;SDSX_J194408.0-053330.2;7.65e+20;0.8;-999/-999;8908.9;2.54464e-14;8.27008e-15;9.21742e-15;7.33039e-15;-999;5.00995e-14;1.77434e-14;-999;2.80374e-14;-2.82057e-11;9.5666e-14;0.0016;0.00052;0.0002667;0.0002121;-999;0.001333;0.0004721;-999;0.0005164;-0.5195;0.001762;295_8908_m5_5649_15;8911.98
29;296.023;-5.61699;SDSX_J194405.4-053701.2;7.68e+20;0.8;-999/-999;9214.3;2.49881e-14;8.11716e-15;1.35884e-14;8.93082e-15;-999;3.68827e-14;1.5208e-14;-999;1.06531e-14;9.86576e-15;-999;0.00157;0.00051;0.0003924;0.0002579;-999;0.000981;0.0004045;-999;0.0001962;0.0001817;-999;295_8908_m5_5649_15;9217.38
30;295.826;-5.62471;SDSX_J194318.1-053729.0;8e+20;0.8;-999/-999;7718.3;2.13412e-14;8.66484e-15;1.88106e-14;1.20489e-14;-999;1.00386e-14;9.21964e-15;-999;2.88949e-14;1.85082e-14;-999;0.00133;0.00054;0.0005319;0.0003407;-999;0.000266;0.0002443;-999;0.0005319;0.0003407;-999;295_8908_m5_5649_15;7720.76
31;295.867;-5.69118;SDSX_J194328.1-054128.2;7.95e+20;0.8;-999/-999;8306.9;2.00325e-14;8.33352e-15;2.20348e-14;1.29403e-14;-999;9.42925e-15;-1.9594e-11;1.55545e-13;3.39554e-14;1.99409e-14;-999;0.00125;0.00052;0.0006251;0.0003671;-999;0.00025;-0.5195;0.004124;0.0006251;0.0003671;-999;295_8908_m5_5649_15;8309.3
32;295.976;-5.77697;SDSX_J194354.3-054637.1;7.77e+20;0.8;-999/-999;1916.2;9.97063e-13;1.21243e-13;1.19132e-12;1.95802e-13;-999;8.8748e-13;1.75802e-13;-999;2.56152e-13;1.11758e-13;-999;0.0625;0.0076;0.0342;0.005621;-999;0.02358;0.004671;-999;0.004717;0.002058;-999;295_8908_m5_5649_15;1924.42
